"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5565","TC8: Browse All Products and open the first product's detail page","tests","Tue Jul 14 16:47:06 UTC 2026","passed","Tue Jul 14 16:47:12 UTC 2026","","test_tc08_all_products_and_detail","",""
"","3100","TC10: Subscribe to the newsletter from the home page footer","tests","Tue Jul 14 16:46:00 UTC 2026","passed","Tue Jul 14 16:46:03 UTC 2026","","test_tc10_subscription_home_page","",""
"","5130","TC25: Scroll to the bottom, then back up using the arrow button","tests","Tue Jul 14 16:47:55 UTC 2026","passed","Tue Jul 14 16:48:00 UTC 2026","","test_tc25_scroll_up_with_arrow_button","",""
"","15170","TC1: Register a new user end to end and delete the account","tests","Tue Jul 14 16:47:02 UTC 2026","passed","Tue Jul 14 16:47:17 UTC 2026","","test_tc01_register_user","",""
"","3685","TC11: Subscribe to the newsletter from the cart page footer","tests","Tue Jul 14 16:45:57 UTC 2026","passed","Tue Jul 14 16:46:00 UTC 2026","","test_tc11_subscription_cart_page","",""
"","6131","TC19: Browse products via the brand sidebar","tests","Tue Jul 14 16:46:21 UTC 2026","passed","Tue Jul 14 16:46:27 UTC 2026","","test_tc19_view_and_cart_brand_products","",""
"","3942","TC21: Submit a review on a product","tests","Tue Jul 14 16:46:27 UTC 2026","passed","Tue Jul 14 16:46:31 UTC 2026","","test_tc21_add_review_on_product","",""
"","10683","TC16: Log in first, then place an order","tests","Tue Jul 14 16:48:02 UTC 2026","passed","Tue Jul 14 16:48:13 UTC 2026","","test_tc16_place_order_login_before_checkout","",""
"","4529","TC13: Increase quantity on the product page and verify it in the cart","tests","Tue Jul 14 16:46:18 UTC 2026","passed","Tue Jul 14 16:46:22 UTC 2026","","test_tc13_verify_product_quantity_in_cart","",""
"","5211","TC9: Search for a product and verify matching results","tests","Tue Jul 14 16:46:10 UTC 2026","passed","Tue Jul 14 16:46:15 UTC 2026","","test_tc09_search_product","",""
